borrower_id,doc_type,file_name,status,quality_score,note
B10001,identity,b10001_identity.pdf,verified,75,Structured checks passed
B10001,bank_statement,b10001_bank_statement.pdf,verified,69,Structured checks passed
B10001,income_document,b10001_income_document.pdf,verified,59,Structured checks passed
B10001,business_document,b10001_business_document.pdf,verified,63,Structured checks passed
B10002,identity,b10002_identity.pdf,verified,78,Structured checks passed
B10002,bank_statement,b10002_bank_statement.pdf,verified,73,Structured checks passed
B10002,income_document,b10002_income_document.pdf,verified,81,Structured checks passed
B10002,business_document,b10002_business_document.pdf,verified,71,Structured checks passed
B10003,identity,b10003_identity.pdf,verified,61,Structured checks passed
B10003,bank_statement,b10003_bank_statement.pdf,verified,50,Structured checks passed
B10003,income_document,b10003_income_document.pdf,needs_review,61,OCR pending — status from structured verification
B10003,business_document,b10003_business_document.pdf,verified,62,Structured checks passed
B10004,identity,b10004_identity.pdf,verified,85,Structured checks passed
B10004,bank_statement,b10004_bank_statement.pdf,verified,93,Structured checks passed
B10004,income_document,b10004_income_document.pdf,needs_review,99,OCR pending — status from structured verification
B10004,salary_slip,b10004_salary_slip.pdf,needs_review,95,OCR pending — status from structured verification
B10005,identity,b10005_identity.pdf,suspicious,54,OCR pending — status from structured verification
B10005,bank_statement,b10005_bank_statement.pdf,verified,59,Structured checks passed
B10005,income_document,b10005_income_document.pdf,suspicious,42,OCR pending — status from structured verification
B10005,salary_slip,b10005_salary_slip.pdf,suspicious,51,OCR pending — status from structured verification
B10006,identity,b10006_identity.pdf,verified,59,Structured checks passed
B10006,bank_statement,b10006_bank_statement.pdf,verified,55,Structured checks passed
B10006,income_document,b10006_income_document.pdf,needs_review,66,OCR pending — status from structured verification
B10007,identity,b10007_identity.pdf,needs_review,88,OCR pending — status from structured verification
B10007,bank_statement,b10007_bank_statement.pdf,needs_review,75,OCR pending — status from structured verification
B10007,income_document,b10007_income_document.pdf,verified,71,Structured checks passed
B10007,business_document,b10007_business_document.pdf,needs_review,77,OCR pending — status from structured verification
B10008,identity,b10008_identity.pdf,verified,52,Structured checks passed
B10008,bank_statement,b10008_bank_statement.pdf,needs_review,53,OCR pending — status from structured verification
B10008,income_document,b10008_income_document.pdf,verified,53,Structured checks passed
B10009,identity,b10009_identity.pdf,verified,77,Structured checks passed
B10009,bank_statement,b10009_bank_statement.pdf,verified,68,Structured checks passed
