borrower_id,month,label,income,expenses,debt,transactions,bounced,disputed
B10001,0,M-6,37854,21206,31398,77,1,0
B10001,1,M-5,33417,28502,36530,47,0,0
B10001,2,M-4,34113,31677,19490,31,0,0
B10001,3,M-3,33278,29077,32080,77,0,0
B10001,4,M-2,37401,26858,49490,49,0,0
B10001,5,M-1,35686,30858,32777,81,0,0
B10002,0,M-6,42897,29521,17812,50,0,0
B10002,1,M-5,48304,29650,10552,60,0,0
B10002,2,M-4,53078,36523,7672,82,0,0
B10002,3,M-3,52647,37854,12420,44,0,0
B10002,4,M-2,47979,21645,20457,71,0,0
B10002,5,M-1,57857,41465,15945,31,0,0
B10003,0,M-6,38698,25290,9350,67,0,0
B10003,1,M-5,38185,25032,51363,28,0,0
B10003,2,M-4,40974,31676,7509,72,0,0
B10003,3,M-3,42591,21493,14660,59,0,0
B10003,4,M-2,37677,20411,29458,81,0,0
B10003,5,M-1,37538,32057,50933,31,0,0
B10004,0,M-6,76090,50783,28610,31,0,0
B10004,1,M-5,87936,55141,13459,47,0,0
B10004,2,M-4,82410,44130,18827,53,0,0
B10004,3,M-3,93901,52198,43421,77,0,0
B10004,4,M-2,96561,66024,28315,85,0,0
B10004,5,M-1,91072,68973,18105,82,0,0
B10005,0,M-6,7206,6385,9729,39,0,0
B10005,1,M-5,8467,5759,3974,76,0,0
B10005,2,M-4,7665,3540,2809,46,0,0
B10005,3,M-3,8852,8263,3703,66,0,0
B10005,4,M-2,8227,7738,6377,86,0,0
B10005,5,M-1,7882,7371,2657,87,0,0
B10006,0,M-6,54236,26179,24876,40,0,0
B10006,1,M-5,50615,37065,8223,28,0,0
B10006,2,M-4,57303,38046,21078,54,0,0
B10006,3,M-3,55890,36412,20040,49,0,0
B10006,4,M-2,50486,25327,19405,83,0,0
B10006,5,M-1,54845,41678,21284,39,0,0
B10007,0,M-6,44321,32909,13150,72,0,0
B10007,1,M-5,43306,33096,12316,42,0,0
B10007,2,M-4,40492,23733,15330,76,0,0
B10007,3,M-3,42172,31384,19512,88,0,0
B10007,4,M-2,40390,30996,14045,68,0,0
B10007,5,M-1,36553,21932,18633,36,0,0
B10008,0,M-6,17291,16087,18157,78,0,0
B10008,1,M-5,20116,13432,20659,87,0,0
B10008,2,M-4,18945,16181,15674,56,0,0
B10008,3,M-3,20138,16423,8800,80,0,0
B10008,4,M-2,22329,11016,24426,40,0,0
B10008,5,M-1,21335,16112,11618,26,0,0
B10009,0,M-6,44000,38907,35550,81,0,0
B10009,1,M-5,48714,33354,32394,36,0,0
B10009,2,M-4,44103,40599,34726,78,0,0
B10009,3,M-3,47927,23343,44225,28,0,0
B10009,4,M-2,45884,33561,23839,89,0,0
B10009,5,M-1,45995,38278,42777,76,0,0
B10010,0,M-6,57324,37336,23595,89,0,0
B10010,1,M-5,54582,29711,5703,74,0,0
B10010,2,M-4,51508,34924,22913,36,0,0
B10010,3,M-3,51731,34772,14575,30,0,0
B10010,4,M-2,48394,27423,18081,80,0,0
B10010,5,M-1,47294,32765,10576,86,0,0
B10011,0,M-6,32633,24262,60389,56,0,0
B10011,1,M-5,34331,24694,23691,60,0,0
B10011,2,M-4,40197,27240,22380,37,0,0
B10011,3,M-3,44464,32721,17428,75,0,0
B10011,4,M-2,41527,34150,43904,77,0,0
B10011,5,M-1,47514,37149,50389,88,0,0
B10012,0,M-6,28247,15990,27384,54,0,0
B10012,1,M-5,29221,26283,20770,43,0,0
B10012,2,M-4,29039,14140,39157,89,0,0
B10012,3,M-3,28088,26150,29392,54,0,0
B10012,4,M-2,28579,27141,35637,31,0,0
B10012,5,M-1,29532,18590,14281,70,0,0
B10013,0,M-6,52726,30758,19249,49,0,0
B10013,1,M-5,57188,35171,18838,86,0,0
B10013,2,M-4,53255,35336,19446,66,0,0
B10013,3,M-3,54654,38005,19481,32,0,0
B10013,4,M-2,49948,23127,26991,32,0,0
B10013,5,M-1,51931,33140,13835,49,0,0
B10014,0,M-6,15844,8510,3084,73,0,0
B10014,1,M-5,16919,13921,13191,75,0,0
B10014,2,M-4,17284,8720,13849,86,0,0
B10014,3,M-3,16035,13496,22508,58,0,0
B10014,4,M-2,17904,16686,3285,56,1,0
B10014,5,M-1,18100,14354,13525,84,0,0
B10015,0,M-6,32412,20542,34514,62,0,0
B10015,1,M-5,31850,27792,43227,78,0,0
B10015,2,M-4,30369,23425,4242,85,0,0
B10015,3,M-3,31319,18282,10580,70,0,0
B10015,4,M-2,27961,17333,3413,81,0,0
B10015,5,M-1,29142,18954,8995,66,0,0
B10016,0,M-6,95029,56655,13758,26,0,0
B10016,1,M-5,88964,64985,32708,79,0,0
B10016,2,M-4,101006,48568,41236,40,0,0
