borrower_id,defaulted_12m
B10001,0
B10002,0
B10003,1
B10004,0
B10005,1
B10006,0
B10007,0
B10008,1
B10009,0
B10010,0
B10011,1
B10012,0
B10013,0
B10014,1
B10015,0
B10016,0
B10017,1
B10018,0
B10019,0
B10020,0
B10021,0
B10022,0
B10023,0
B10024,1
B10025,1
B10026,0
B10027,0
B10028,1
B10029,0
B10030,1
B10031,0
B10032,0
B10033,0
B10034,1
B10035,0
B10036,0
B10037,1
B10038,0
B10039,0
B10040,1
B10041,0
B10042,0
B10043,1
B10044,0
B10045,1
B10046,0
B10047,0
B10048,0
B10049,0
B10050,0
B10051,0
B10052,0
B10053,0
B10054,1
B10055,0
B10056,0
B10057,0
B10058,0
B10059,1
B10060,0
B10061,1
B10062,0
B10063,0
B10064,0
B10065,0
B10066,0
B10067,1
B10068,1
B10069,0
B10070,1
B10071,0
B10072,0
B10073,1
B10074,0
B10075,0
B10076,1
B10077,0
B10078,0
B10079,0
B10080,0
B10081,0
B10082,0
B10083,0
B10084,1
B10085,0
B10086,0
B10087,1
B10088,1
B10089,0
B10090,0
B10091,1
B10092,0
B10093,0
B10094,0
B10095,0
B10096,0
B10097,0
B10098,0
B10099,0
B10100,1
B10101,1
B10102,0
B10103,0
B10104,1
B10105,1
B10106,0
B10107,0
B10108,0
B10109,1
B10110,0
B10111,1
B10112,0
B10113,0
B10114,0
B10115,1
B10116,1
B10117,0
B10118,1
B10119,0
B10120,0
B10121,0
B10122,0
B10123,0
B10124,1
B10125,0
B10126,1
B10127,0
B10128,0
B10129,0
B10130,1
B10131,1
B10132,0
B10133,1
B10134,0
B10135,0
B10136,0
B10137,0
B10138,1
B10139,0
B10140,0
B10141,0
B10142,0
B10143,0
B10144,0
B10145,1
B10146,0
B10147,0
B10148,1
B10149,0
B10150,0
B10151,0
B10152,1
B10153,0
B10154,0
B10155,0
B10156,1
B10157,1
B10158,0
B10159,1
B10160,1
B10161,1
B10162,0
B10163,0
B10164,1
B10165,1
B10166,0
B10167,1
B10168,1
B10169,1
B10170,0
B10171,0
B10172,0
B10173,0
B10174,0
B10175,0
B10176,0
B10177,1
B10178,0
B10179,0
B10180,0
B10181,0
B10182,1
B10183,1
B10184,0
B10185,0
B10186,0
B10187,0
B10188,0
B10189,0
B10190,0
B10191,0
B10192,0
B10193,1
B10194,0
B10195,0
B10196,1
B10197,0
B10198,0
B10199,1
B10200,0
B10201,0
B10202,1
B10203,1
B10204,1
B10205,0
B10206,0
B10207,1
B10208,0
B10209,0
B10210,0
B10211,1
B10212,0
B10213,0
B10214,0
B10215,0
B10216,0
B10217,0
B10218,0
B10219,0
B10220,0
B10221,0
B10222,0
B10223,0
B10224,0
B10225,0
B10226,1
B10227,0
B10228,0
B10229,0
B10230,1
B10231,1
B10232,0
B10233,1
